solution.name,solution.number,nozzle,orifice.size,pressure,rep,dv10,dv50,dv90,rs,fines (<200),density,viscosity,ph,conductivity,surface.tension
water,1,ULD,0.4,60,2,299.12,577.48,880.74,1.01,2.99,0.99872,1,7.81,771,
water,1,ULD,0.4,60,3,299.04,578.16,880.74,1.01,2.95,0.99872,1,7.77,774,
water,1,ULD,0.5,60,1,262.02,521.75,817.85,1.07,4.61,0.99871,1.001,7.78,769,
water,1,ULD,0.5,60,2,261.89,522.11,820.45,1.07,4.58,0.99872,1,7.81,771,
water,1,ULD,0.5,60,3,261.59,522.18,824.78,1.08,4.61,0.99872,1,7.77,774,
water,1,TTI,0.3,60,1,314.32,653.3,1009.87,1.06,2.69,0.99871,1.001,7.78,769,
water,1,TTI,0.3,60,2,317.94,655.78,1018.43,1.07,2.53,0.99872,1,7.81,771,
water,1,TTI,0.3,60,3,322.42,695.14,1170.95,1.22,2.51,0.99872,1,7.77,774,
water,1,TTI,0.4,60,1,312.84,649.08,1004.55,1.07,2.7,0.99871,1.001,7.78,769,
water,1,TTI,0.4,60,2,316.61,650.94,1008.41,1.06,2.61,0.99872,1,7.81,771,
water,1,TTI,0.4,60,3,306.9,650.55,1012.14,1.08,2.98,0.99872,1,7.77,774,
water,1,TTI,0.5,60,1,308.08,658.95,1043.99,1.12,2.86,0.99871,1.001,7.78,769,
water,1,TTI,0.5,60,2,313.68,670.52,1061.01,1.11,2.68,0.99872,1,7.81,771,
water,1,TTI,0.5,60,3,306.57,662.97,1053.18,1.13,2.94,0.99872,1,7.77,774,
water,1,TTI,0.6,60,1,280.18,622.45,1019.81,1.19,3.88,0.99871,1.001,7.78,769,
water,1,TTI,0.6,60,2,281.9,619.05,985.3,1.14,3.82,0.99872,1,7.81,771,
water,1,TTI,0.6,60,3,278.95,624.56,1028.6,1.2,3.98,0.99872,1,7.77,774,
dicamba,2,AI80,0.3,20,1,517.99,921.81,1311.52,0.86,0.31,1.00124,1.023,6.28,2.89,
dicamba,2,AI80,0.3,20,2,521.45,928.77,1320.65,0.86,0.32,1.00123,1.022,6.28,2.97,
dicamba,2,AI80,0.3,20,3,525.69,935.54,1321.22,0.85,0.31,1.00124,1.021,6.31,2.97,
dicamba,2,AI110,0.3,20,1,444.83,805.77,1125.99,0.85,0.76,1.00124,1.023,6.28,2.89,
